"url","created_at","full_text","favorite_count","retweet_count"
"https://twitter.com/ComputerLove_/status/1352837882629681153","Sat Jan 23 04:37:40 +0000 2021","Susan Kare, famous graphic artist who designed many of the fonts, icons, and images for Apple, NeXT, Microsoft, and IBM. (1980s) https://t.co/Cqc1jTJEoS","73065","11333"
"https://twitter.com/_aabhas/status/1043248166911524865","Fri Sep 21 21:18:40 +0000 2018","MIT@IBM 2018 planning sessions on in full swing #mitibm https://t.co/oscxEEPhSo","14","1"
"https://twitter.com/thebradsmith/status/1037192580172316673","Wed Sep 05 04:15:55 +0000 2018","This was a dream. My mother put us in tennis camps growing up, she was great at the sport but I was better at not tennis. Never stopped appreciating the pure artistry these athletes display, and today got to do some coverage of the Major event with @cheddarbignews @ibm @usta… https://t.co/N2ws7D0lTX","7","0"
"https://twitter.com/meijin_job/status/1676867015070580737","Thu Jul 06 08:13:45 +0000 2023","サマーで受けたwebテストが秋冬や
本選考に使い回されるのは恐怖😭

🎯インターンwebテ使い回し企業🎯
※あくまで説

⭐️PwC
⭐️博報堂
⭐️みずほ
⭐️三菱UFJ銀行
⭐️三菱地所
⭐️関西電力
⭐️アサヒビール
⭐️野村アセットマネジメント
⭐️野村證券
⭐️野村総合研究所　
⭐️IBM　本選考使い回し
⭐️デロイト","1031","119"
"https://twitter.com/BenSharf/status/1811474257274187831","Thu Jul 11 18:54:53 +0000 2024","Michael True, co-founder and CEO of @PrescientAI, is leading a transformative startup that is redefining data science and marketing analytics. @michael_true_ journey from a corporate tech role at IBM to heading a rapidly expanding company is both compelling and insightful, https://t.co/iz54yv3EGR","21","1"
